"","business_id","weighted_sentiment","price_score","service_score","atmosphere_score"
"1","-3AooxIkg38UyUdlz5oXdw",-0.042,0.223,-0.049,0.409
"2","-9r8nAzWyRSLxBWt8uQOdA",-0.062,0.036,-0.674,0
"3","-FM4CxOg4XXmX_Ebky_SiQ",0.013,0.048,1.687,1.14
"4","-H-fZonTLitwHFY_PLAIjA",0.004,0,1.401,0
"5","-I7M6l0h46VdiN09Y1NUZw",0.008,0.125,0.302,0.167
"6","-NXRuUsazxXZZ_OHwmtYtw",-0.029,-0.059,0.624,0.656
"7","-SS3ep20HKhuOhzDkkt9aA",-0.022,0.186,0.014,0.093
"8","-TjT3y-Glfnbt6LbKETAYg",0.012,0.056,0.933,0.456
"9","-ipZBVF9nWm1vzrvQ3444A",-0.016,0,0.21,0.085
"10","-kfHz1kimX62QEceFkkB_g",-0.017,0.131,-0.073,-0.028
"11","-loV4cB2Uh9TCltTRgGzWQ",-0.007,0.051,-0.032,0.17
"12","-r6nmLB5Vi2TLQCxh0_dtw",-0.007,0.201,0.893,0
"13","035gK3ASKDns-ojUSnV4IA",0.023,0.218,-0.285,0.203
"14","06pNHtxgPhGhZpM0Z2uzNw",-0.023,0.158,0.076,0.263
"15","0RxU5OglQyPVtLKC1LPgsA",0.02,0,0.528,0.07
"16","0ac5lGA_0wdKDnib3y59Xg",0.004,0.095,0,0.309
"17","0cWnURpfrb4MqKSzyVN4SQ",0.026,0,0.355,0.045
"18","0it-2gWk_gyuZyEMQzBBuQ",-0.003,0.076,0.745,0.371
"19","0jpFptAehZhLl3nkhHDanA",0.023,0,0.586,0.299
"20","0mUVD5sDXZjd66XwATN8XA",-0.004,0.064,0,0
"21","0qu0fNTOsSmuREYVIMPuIQ",0.004,0,0.167,0.341
"22","18eWJFJbXyR9j_5xfcRLYA",0.023,0.157,1.244,0.369
"23","1Du1NruqJwxnzgEUHc42Jw",0.073,0.251,0.971,0.326
"24","1FURjeGJi_LBXcJQg8eskw",0.017,0.554,0.818,0.345
"25","1kVnChI4aqsPw9i2PVqkkw",-0.014,0.079,0.331,0.347
"26","1l4-uhraQzNiRjppKyMUUQ",0.032,0,0.713,0
"27","23OxrUaCvvVrwSa1z3xG-w",0.061,0.148,0.797,0.058
"28","27zlxlmlQu9KBr5Vj4MGeg",0.007,0.023,1.205,0.163
"29","29t8lDBLiwkEd1HA356dOw",-0.042,0.017,0.086,0
"30","2N9WHETHcYJsfYpHQ-qN_A",-0.015,0.078,0.109,0
"31","2RtyOlU9mwyVisvgOECaDA",-0.023,0.076,0.251,0
"32","2WHu0k5VVM1Pn9AFzkSBlA",0.033,0.16,0.283,0
"33","2Y0L3Hf6U-76jGvviKy5pA",-0.051,0.061,-0.005,0
"34","2YnQAJdeFrcgPa8MqIYcDg",-0.018,0.038,0.478,0.057
"35","2aP9wvEqpGLLDVpWTWlAog",0.004,0,0.39,0
"36","2bxZhBk8JZkJ1GqfTB0cUQ",-0.044,0.195,0.208,0.099
"37","2l-spLLGUzRiZg8dF623Nw",0.003,0,0.192,0.082
"38","2pBNVsJo3a3CPbInUu9lvQ",-0.044,-0.086,-0.088,0.06
"39","2swMZVA832zkmdPBrddPRQ",0.007,0.467,0.512,0
"40","2xxkaRy7rP5EUyjFt2J5kA",-0.009,0.086,0.64,0.089
"41","34Eqv8jXgxg_EEwcsNgeeg",-0.005,0.151,0.22,0.108
"42","3VrqxApK-iwfRohlAuIt0g",0.018,0.211,0.384,0.622
"43","3Wy21heeDm8h2tSZfcj6OA",0.022,0.186,1.619,0.775
"44","3fpAmsSuEFNF29UUPpgwlw",0.064,0.058,0.747,0
"45","3tvi-OJ_-iK1ecjzSaH-oA",0.004,0,0.637,0.098
"46","3xJ_6qxRA0sdUm3ThCPiCw",-0.001,0,-0.927,0.419
"47","425FOxIzHPcOB0niWc6-1w",-0.008,0,-0.1,0
"48","45D7B9CqiUTTPUFcqmLx5Q",0.008,-0.069,0.976,0.776
"49","45Ut-AN8h3c88-pYTrGBnA",-0.017,0.123,0.657,0.105
"50","4D7QDfPOsSPfKxBi3gs_qQ",-0.007,0.031,0.229,0.504
"51","4VW4_ghjdYw0Wl40Voa9cw",-0.027,0.085,-0.01,0.193
"52","4h4Uskb7B8OTI7oDR7wImQ",0.014,0.19,0.329,0
"53","54oLdsGU9B8HxFTqCCqV-A",0.016,0.583,0.922,0.812
"54","5Z7HXqp22lSiN0Q8iF94hQ",-0.026,-0.05,0.24,0.253
"55","5uNCvNy9L6peKeKP1RRPyg",-0.027,0,0.408,0.283
"56","5vObJIHLO-QOMrw_MvC4rA",0.004,0.104,0.981,0.274
"57","6EPPtwJR1kdIfHiCjzCzuw",-0.01,0.051,0.297,0.167
"58","6EizP0XyqITuGZ8GZMI9Lw",0.034,0.279,2.775,1.105
"59","6HTGlttrzCMsuGBHO1ZGiw",0.042,0.065,1.071,0.994
"60","6RBZfirnzE4NahJTn1UPNA",-0.005,0.24,0.43,0.079
"61","6TciI6uBdrd8z1av1YleLg",-0.019,0.142,0.264,0.096
"62","6VVbLYay8czrjKJ4xRoTxQ",0.028,0,1.344,0
"63","6kPHr6gZaU9732ptn9gJrA",-0.016,0.058,0.491,0.173
